N,iters
500,10349
1000,20588
1500,30788
2000,40836
2500,50821
3000,60913
3500,70746
4000,80626
4500,90669
5000,100575
5500,110637
6000,120334
6500,130396
7000,140398
7500,150154
8000,159986
8500,170014
9000,179772
9500,189982
10000,199311
