N,Base Version,compute_squared_euclidean_distance
200,87935434.700000,87917842.000000
400,354907232.800000,352721889.000000
600,799626471.500000,794300020.100000
800,1415775021.100000,1426637639.900000
1000,2218983872.900000,2543475375.000000
1200,3208743579.100000,3219467511.300000
1400,3776048185.000000,3158194605.000000
1600,4076753994.200000,4077451480.600000
1800,5106434379.400000,5134369294.600000
2000,6371876448.100000,6355629531.000000
