N,iters
500,10336
1000,20570
1500,30827
2000,40892
2500,50805
3000,60907
3500,70740
4000,80632
4500,90630
5000,100596
5500,110628
6000,120357
6500,130329
7000,140368
7500,150131
8000,160003
8500,169866
9000,179734
9500,190058
10000,199259
