N,iters
500,10354
1000,20616
1500,30823
2000,40820
2500,50939
3000,60915
3500,70805
4000,80810
4500,90893
5000,100660
5500,110816
6000,120582
6500,130614
7000,140386
7500,150543
8000,160233
8500,170084
9000,180070
9500,189783
10000,199876
