N,iters
500,10372
1000,20606
1500,30766
2000,40769
2500,50777
3000,60784
3500,70657
4000,80662
4500,90690
5000,100496
5500,110482
6000,120367
6500,130404
7000,140189
7500,149883
8000,159846
8500,169754
9000,179751
9500,189349
10000,199238
