N,D,base_version,fast_scalar,fast_scalar_start_matter,fast_scalar_8x8x8_big_unroll
500,1000,461469921.000000,129751805.000000,128804466.000000,246183487.000000
1000,1000,1839260729.000000,513296468.000000,511302417.000000,993774501.000000
1500,1000,4136486659.000000,1153953924.000000,1149883032.000000,2233051160.000000
2000,1000,7362162848.000000,2079850609.000000,2069353568.000000,3983493082.000000
2500,1000,11528239645.000000,3309363186.000000,3302208045.000000,6219886009.000000
3000,1000,16644292732.000000,4865079776.000000,4861619556.000000,8985536757.000000
3500,1000,22685186311.000000,6684565894.000000,6681816069.000000,12218218347.000000
4000,1000,29660983077.000000,8804711170.000000,8800995910.000000,15983229385.000000
4500,1000,37569100089.000000,11208339654.000000,11204939309.000000,20221471912.000000
5000,1000,46410222144.000000,13895922255.000000,13893244391.000000,25000675765.000000
5500,1000,56183474430.000000,16877136508.000000,16875242988.000000,30231943081.000000
6000,1000,66884721706.000000,20133209275.000000,20131414482.000000,36014872783.000000
6500,1000,78517946850.000000,23689892819.000000,23677049338.000000,42241734353.000000
7000,1000,91086004599.000000,27502875147.000000,27497002737.000000,49034313184.000000
7500,1000,104586744477.000000,31620621777.000000,31618884516.000000,56263491742.000000
8000,1000,119005796765.000000,36006391022.000000,36002554022.000000,64077720916.000000
8500,1000,134377905766.000000,40679470333.000000,40674445100.000000,72388269403.000000
9000,1000,150673452293.000000,45627762614.000000,45626434652.000000,81216822807.000000
9500,1000,167895762563.000000,50881450782.000000,50874915156.000000,90427776995.000000
10000,1000,186048961085.000000,56385503861.000000,56384602752.000000,100291561849.000000
