N,D,base_version,fast_scalar,fast_scalar_avx,fast_scalar_start_matter,fast_scalar_8x8x8_big_unroll,fast_scalar_8x8x8_avx,fast_scalar_8x8x8_avx_with_start
500,1000,457767002.000000,59243466.000000,52671492.000000,60383802.000000,312414172.000000,18793239.000000,18748945.000000
1000,1000,1834618819.000000,236204943.000000,209674315.000000,238414405.000000,1271352900.000000,71059203.000000,71083242.000000
1500,1000,4126856364.000000,536854381.000000,473880306.000000,537743879.000000,2857174516.000000,162128129.000000,161498787.000000
2000,1000,7343788662.000000,976877154.000000,861469931.000000,981433443.000000,5107124762.000000,288785523.000000,287918918.000000
2500,1000,11514742741.000000,1639735658.000000,1447330721.000000,1646326954.000000,7971464533.000000,464557640.000000,464817259.000000
3000,1000,16625399471.000000,2504359833.000000,2212978971.000000,2519758969.000000,11523582347.000000,694408605.000000,696079738.000000
3500,1000,22664542465.000000,3505250161.000000,3098436419.000000,3524505185.000000,15667197424.000000,957780450.000000,959980078.000000
4000,1000,29639460342.000000,4659182136.000000,4106202509.000000,4683227465.000000,20512416024.000000,1269079881.000000,1272377171.000000
4500,1000,37543558282.000000,5994801211.000000,5280758342.000000,6021595178.000000,25938927811.000000,1614862813.000000,1618850460.000000
5000,1000,46383141635.000000,7483344556.000000,6643228612.000000,7554824577.000000,32073429802.000000,2017947985.000000,2022949625.000000
5500,1000,56102157479.000000,9189660524.000000,8115014437.000000,9230731248.000000,38778557988.000000,2448215272.000000,2455414040.000000
6000,1000,66771273529.000000,11093018958.000000,9816162049.000000,11135319999.000000,46222888572.000000,2945763776.000000,2953926994.000000
6500,1000,78388113117.000000,13107998499.000000,11521018243.000000,13079952525.000000,54199165360.000000,3450928746.000000,3464818981.000000
7000,1000,90931505022.000000,15194999282.000000,13409008417.000000,15245613476.000000,62928671374.000000,4023195884.000000,4036043498.000000
7500,1000,104411641951.000000,17501318329.000000,15442955715.000000,17548776118.000000,72202275802.000000,4626904878.000000,4640480992.000000
8000,1000,118829802188.000000,19931704176.000000,17608978547.000000,19987568076.000000,82228866420.000000,5279346211.000000,5296411056.000000
8500,1000,134218410080.000000,22592766481.000000,22229178296.000000,22645074047.000000,92988006054.000000,7412554580.000000,7426863040.000000
9000,1000,150384382945.000000,25442253330.000000,25068029223.000000,25490710038.000000,104334812615.000000,8350613494.000000,8362007690.000000
9500,1000,167583389603.000000,28317453721.000000,27925367437.000000,28370192508.000000,116158857493.000000,9285146961.000000,9301298514.000000
10000,1000,185714020523.000000,31418480447.000000,31022399258.000000,31411921134.000000,128880788762.000000,10339161286.000000,10353292570.000000
