N,D,base_version,fast_scalar,fast_scalar_start_matter,fast_scalar_8x8x8_big_unroll
500,1000,461487345.000000,151061898.000000,158230643.000000,174989214.000000
1000,1000,1839647642.000000,599313968.000000,625340355.000000,693578808.000000
1500,1000,4136923902.000000,1349215905.000000,1402665025.000000,1556096507.000000
2000,1000,7360907418.000000,2402509070.000000,2500906572.000000,2763330228.000000
2500,1000,11534331817.000000,3809213130.000000,3964225451.000000,4315227606.000000
3000,1000,16655730815.000000,5551943818.000000,5777552644.000000,6221067481.000000
3500,1000,22706600524.000000,7604691736.000000,7912633026.000000,8461689689.000000
4000,1000,29690764368.000000,9968338327.000000,10371892372.000000,11053963399.000000
4500,1000,37606859922.000000,12649701419.000000,13162281429.000000,13991141951.000000
5000,1000,46457462398.000000,15642731296.000000,16277350026.000000,17278374665.000000
5500,1000,56243929153.000000,18953525350.000000,19724002471.000000,20907749072.000000
6000,1000,66955613721.000000,22574333906.000000,23497013656.000000,24881114238.000000
6500,1000,78611651882.000000,26501727877.000000,27581836564.000000,29190921127.000000
7000,1000,91207268426.000000,30763871146.000000,32006479826.000000,33863470319.000000
7500,1000,104716569225.000000,35306265254.000000,36738659710.000000,38866332341.000000
8000,1000,119164275432.000000,40256354614.000000,41848080699.000000,44250170877.000000
8500,1000,134573178989.000000,45442916167.000000,47254706615.000000,49946439641.000000
9000,1000,150898213304.000000,50948394078.000000,52975251843.000000,56002163157.000000
9500,1000,168143036408.000000,56776640866.000000,59039908558.000000,62385757102.000000
10000,1000,186339234121.000000,62901489654.000000,65415533708.000000,69123053291.000000
