N,D,base_version,fast_scalar,fast_scalar_avx,fast_scalar_start_matter,fast_scalar_8x8x8_big_unroll,fast_scalar_8x8x8_avx,fast_scalar_8x8x8_avx_with_start
500,500,226861105.000000,41923619.000000,30744843.000000,42934620.000000,40024129.000000,12192527.000000,11788651.000000
1000,500,908105254.000000,165806101.000000,121995945.000000,168945719.000000,154919860.000000,46154822.000000,45285231.000000
1500,500,2043385302.000000,373630005.000000,272352692.000000,377343210.000000,344354542.000000,103236229.000000,101983007.000000
2000,500,3633036942.000000,663537060.000000,484304260.000000,669390168.000000,610638474.000000,181367159.000000,179617180.000000
2500,500,5678092967.000000,1038277038.000000,757605275.000000,1045055637.000000,953919762.000000,285347286.000000,282560626.000000
3000,500,8182238635.000000,1501125465.000000,1095261589.000000,1510612059.000000,1376605077.000000,414189814.000000,412219912.000000
3500,500,11143634727.000000,2048621639.000000,1502918778.000000,2062240323.000000,1873851625.000000,568400904.000000,565953097.000000
4000,500,14579410039.000000,2773564344.000000,2072459966.000000,2787655164.000000,2459700964.000000,764309272.000000,761627100.000000
4500,500,18478257005.000000,3596480916.000000,2715237966.000000,3620218439.000000,3138781600.000000,988175603.000000,985870413.000000
5000,500,22845836404.000000,4560578410.000000,3461139579.000000,4654262766.000000,3891235218.000000,1241486417.000000,1238656553.000000
5500,500,27670294240.000000,5619222805.000000,4276721847.000000,5641132493.000000,4721624273.000000,1520124929.000000,1517470614.000000
6000,500,32975283596.000000,6821792925.000000,5200399598.000000,6847786568.000000,5625830588.000000,1823341275.000000,1819968917.000000
6500,500,38749078281.000000,8166835975.000000,6243385693.000000,8194866678.000000,6651876937.000000,2169244790.000000,2164754293.000000
7000,500,45003031784.000000,9591527720.000000,7359994274.000000,9629345942.000000,7745858432.000000,2529850405.000000,2525181129.000000
7500,500,51694589756.000000,11116020972.000000,8550769052.000000,11164955264.000000,8898399992.000000,2928744692.000000,2923330310.000000
8000,500,58853071027.000000,12844044130.000000,9917883659.000000,12906037611.000000,10131205135.000000,3337172147.000000,3332266145.000000
8500,500,66471338611.000000,14550671735.000000,11232898060.000000,14612198453.000000,11471609982.000000,3793686648.000000,3787583268.000000
9000,500,74549766021.000000,16422365747.000000,12739058262.000000,16503774340.000000,12922236280.000000,4277384615.000000,4272426744.000000
9500,500,83090582044.000000,18441585193.000000,14391393461.000000,18529357438.000000,14437364571.000000,4817504300.000000,4814563034.000000
10000,500,92093154448.000000,20452882796.000000,15922983921.000000,20529318680.000000,15934013451.000000,5306584567.000000,5300959022.000000
