N,base_version,fast_vectorize_avx
16,6062.000000,914.000000
32,46164.000000,2891.000000
64,85421.000000,10784.000000
128,345714.000000,41364.000000
256,1478411.000000,177343.000000
512,8353426.000000,813609.000000
1024,39374178.000000,3815231.000000
2048,160788057.000000,17572331.000000
4096,687576861.000000,78633124.000000
8192,3066070140.000000,334354420.000000
