N,base_version,blocking_32_block_4_unfold_sr_vec
4,113.000000,147.000000
8,416.000000,179.000000
16,1958.000000,529.000000
32,9734.000000,1499.000000
64,32558.000000,5527.000000
128,142342.000000,21220.000000
256,660806.000000,83214.000000
512,5159076.000000,458043.000000
1024,26181622.000000,2041878.000000
2048,107764409.000000,8810763.000000
4096,476433329.000000,46399491.000000
8192,2250462027.000000,192946396.000000
