N,iters
500,10339
1000,20579
1500,30755
2000,40793
2500,50782
3000,60773
3500,70660
4000,80673
4500,90673
5000,100484
5500,110478
6000,120366
6500,130373
7000,140269
7500,149895
8000,159983
8500,169767
9000,179771
9500,189311
10000,199280
