N,iters
500,10347
1000,20598
1500,30787
2000,40757
2500,50768
3000,60821
3500,70663
4000,80617
4500,90632
5000,100392
5500,110459
6000,120380
6500,130376
7000,140227
7500,149990
8000,159790
8500,169756
9000,179916
9500,189545
10000,199141
