N,base_version
4,71.000000
8,51.000000
16,161.000000
32,262.000000
64,462.000000
128,882.000000
256,1677.000000
512,3315.000000
1024,6574.000000
2048,13108.000000
4096,26186.000000
8192,123071.000000
